s,m,e,o
10/18/2015,10/18/2015,10/18/2015,10/18/2015
12/19/2015,12/18/2015,12/19/2015,12/19/2015
01/03/2016,12/19/2015,01/01/2016,01/01/2016
01/04/2016,01/01/2016,01/02/2016,01/02/2016
01/11/2016,01/03/2016,01/03/2016,01/03/2016
01/13/2016,01/04/2016,01/04/2016,01/11/2016
01/17/2016,01/11/2016,01/11/2016,01/13/2016
01/18/2016,01/17/2016,01/13/2016,01/18/2016
02/10/2016,01/18/2016,01/18/2016,01/27/2016
02/11/2016,01/19/2016,01/27/2016,02/10/2016
02/12/2016,01/27/2016,02/10/2016,02/11/2016
02/13/2016,02/10/2016,02/11/2016,02/12/2016
11/20/2016,02/11/2016,02/12/2016,11/21/2016
12/08/2016,02/12/2016,11/20/2016,12/08/2016
12/09/2016,02/13/2016,12/08/2016,12/09/2016
12/10/2016,11/20/2016,12/09/2016,12/10/2016
12/14/2016,12/08/2016,12/10/2016,12/11/2016
12/15/2016,12/09/2016,12/14/2016,12/14/2016
12/29/2016,12/10/2016,12/15/2016,12/15/2016
12/30/2016,12/14/2016,12/30/2016,12/30/2016
01/04/2017,12/15/2016,01/05/2017,01/05/2017
01/05/2017,12/29/2016,01/06/2017,01/06/2017
01/06/2017,12/30/2016,01/07/2017,01/07/2017
01/07/2017,01/05/2017,01/08/2017,01/08/2017
01/08/2017,01/06/2017,01/27/2017,01/27/2017
01/28/2017,01/07/2017,01/28/2017,01/28/2017
01/29/2017,01/08/2017,01/29/2017,01/29/2017
11/19/2017,01/27/2017,02/16/2017,02/03/2017
12/06/2017,01/28/2017,11/20/2017,02/04/2017
12/07/2017,01/29/2017,12/06/2017,11/20/2017
12/08/2017,03/15/2017,12/07/2017,12/07/2017
12/12/2017,12/06/2017,12/08/2017,12/08/2017
12/15/2017,12/07/2017,12/10/2017,12/10/2017
12/25/2017,12/08/2017,12/13/2017,12/13/2017
12/26/2017,12/12/2017,12/16/2017,12/16/2017
12/30/2017,12/15/2017,12/26/2017,12/26/2017
12/31/2017,12/25/2017,12/30/2017,12/30/2017
01/05/2018,12/26/2017,01/02/2018,01/02/2018
11/09/2018,12/30/2017,11/10/2018,02/03/2018
11/10/2018,12/31/2017,11/28/2018,11/28/2018
01/09/2019,01/05/2018,01/10/2019,12/06/2018
01/10/2019,11/10/2018,01/25/2019,01/10/2019
01/25/2019,01/09/2019,01/26/2019,01/25/2019
01/29/2019,01/10/2019,01/30/2019,01/26/2019
01/30/2019,01/25/2019,01/31/2019,01/30/2019
02/25/2019,01/29/2019,02/14/2019,01/31/2019
03/05/2019,01/30/2019,02/25/2019,02/01/2019
12/18/2019,02/25/2019,03/05/2019,02/14/2019
01/08/2020,03/05/2019,03/06/2019,02/25/2019
01/19/2020,12/10/2019,03/07/2019,03/05/2019
02/19/2020,12/18/2019,12/18/2019,03/06/2019
02/27/2020,01/08/2020,01/01/2020,03/07/2019
02/28/2020,01/19/2020,01/19/2020,12/18/2019
01/22/2021,02/19/2020,01/20/2020,01/01/2020
02/06/2021,02/27/2020,02/28/2020,02/28/2020
02/11/2021,02/28/2020,02/29/2020,02/29/2020
02/12/2021,02/29/2020,11/02/2020,11/02/2020
02/13/2021,12/25/2020,12/26/2020,12/26/2020
02/19/2021,01/17/2021,01/17/2021,01/17/2021
11/01/2021,01/18/2021,01/18/2021,01/18/2021
11/02/2021,01/22/2021,01/19/2021,01/19/2021
11/03/2021,02/06/2021,01/22/2021,01/22/2021
11/28/2021,02/19/2021,02/06/2021,02/06/2021
12/06/2021,02/20/2021,02/20/2021,12/07/2021
01/05/2022,11/01/2021,12/07/2021,01/06/2022
01/06/2022,11/02/2021,01/06/2022,01/07/2022
01/07/2022,11/03/2021,01/07/2022,01/10/2022
01/10/2022,11/28/2021,01/10/2022,01/23/2022
02/19/2022,12/06/2021,02/19/2022,02/19/2022
11/12/2022,12/07/2021,11/13/2022,11/13/2022
11/13/2022,01/06/2022,11/17/2022,11/17/2022
11/14/2022,01/07/2022,11/18/2022,11/18/2022
11/16/2022,11/13/2022,11/19/2022,11/19/2022
11/17/2022,11/16/2022,11/20/2022,11/20/2022
11/18/2022,11/17/2022,12/01/2022,12/01/2022
11/19/2022,11/18/2022,12/17/2022,12/18/2022
11/20/2022,11/19/2022,12/18/2022,12/19/2022
12/17/2022,11/20/2022,12/24/2022,12/24/2022
12/18/2022,12/17/2022,12/25/2022,12/25/2022
12/23/2022,12/18/2022,12/26/2022,12/26/2022
12/24/2022,12/24/2022,12/27/2022,12/27/2022
12/25/2022,12/25/2022,02/01/2023,02/01/2023
02/03/2023,03/18/2023,03/19/2023,03/19/2023
03/18/2023,11/27/2023,11/28/2023,11/28/2023
11/27/2023,11/28/2023,11/29/2023,11/29/2023
11/28/2023,01/14/2024,01/14/2024,01/14/2024
01/14/2024,01/17/2024,01/15/2024,01/15/2024
01/17/2024,01/19/2024,01/17/2024,01/17/2024
01/20/2024,01/20/2024,01/18/2024,01/18/2024
02/16/2024,02/16/2024,02/18/2024,02/18/2024